candidate,region,address,votes,deltas
decker,AR,RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem,647776.00100000,"[{'satoshis': 100000, 'txid': '7c5d6aebd8c3b68b6ab001ec51e4ff169fa4491ea0951985a14c7da4960ad196', 'index': 1, 'blockindex': 4, 'height': 22788, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 333300000000, 'txid': 'ded9e4cf2d10335dedaae9e8d25a8067ef83cf6c86b5077475186c4dc912fa0c', 'index': 0, 'blockindex': 1, 'height': 36083, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 3333300000000, 'txid': '5ae1be054e5eb99fe705bbc9449dd289b564429af23801b497b0902364878247', 'index': 0, 'blockindex': 1, 'height': 44396, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 7777700000000, 'txid': '040d3c617235de42c9a3a99ba66d62ab8394b32c9d02f6162dbdf95fefdade51', 'index': 1, 'blockindex': 1, 'height': 45852, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 3333300000000, 'txid': '9073a8e31dae77b009dd5b43203fabb8990f47ac53e1853a0e5b8945a48b5762', 'index': 0, 'blockindex': 1, 'height': 50381, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 20000000000000, 'txid': '63b3775aa1f12e5d8406d05894d94d215bbc447299c2701d9322bd8f6b1c220d', 'index': 1, 'blockindex': 3, 'height': 50552, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 20000000000000, 'txid': 'ff3b45363042d05d0221916e509f14315fe18fe8432ab7be73450d73f26c7858', 'index': 1, 'blockindex': 1, 'height': 50578, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}, {'satoshis': 10000000000000, 'txid': 'dff8611c30eeea17329ff3f7d4db26daf8782d2c1f9a8696c5c5601a031a4677', 'index': 0, 'blockindex': 1, 'height': 51177, 'address': 'RB4ddQGvuQBPfpw6dcefF8AFZekVJc9tem'}]"
goldenman,AR,RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN,334898.10544722,"[{'satoshis': 100000, 'txid': 'a46db2c4877faf11e8dea0a95ef56a32b10e3f8f946ae437258a4fd728a370b9', 'index': 1, 'blockindex': 2, 'height': 22788, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 39257148949, 'txid': '992ca3f8abd1a75f2477c499c01a297d0e3e2a8e214547fa968c2bf9778f77da', 'index': 0, 'blockindex': 1, 'height': 31428, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 50070562470, 'txid': 'c7d130a1720a9ac38e71832849421c088ae4ae5ca67d4b68436abd61a7ddfaf9', 'index': 0, 'blockindex': 1, 'height': 36223, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 4281200000000, 'txid': '7e45e3e8536b1bc5936d75e1cc42b0409723fab16a6ef1fc1758b265ac3328ff', 'index': 0, 'blockindex': 1, 'height': 41265, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 8852379554179, 'txid': '9874c7c3f96eaa3703c1f7bcea37706054ae0151a6a1f83b85913a4dd3be9b19', 'index': 0, 'blockindex': 1, 'height': 41651, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 5581503189124, 'txid': 'b9fad46d6c690946db14e783cc49d42c6df539af7bc959f175d5d71a3f0d7fd7', 'index': 0, 'blockindex': 1, 'height': 46355, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 11907700000000, 'txid': '8d8857e8a5cd376633fd790c1e1a90ff3056610152a41c5bba83e4644dccebf6', 'index': 0, 'blockindex': 1, 'height': 50926, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 2000000000000, 'txid': 'eae7f17f90a069a8f50a5298871f1701e6ca3884f49c723a85872795cdae39c5', 'index': 0, 'blockindex': 1, 'height': 51157, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}, {'satoshis': 777699990000, 'txid': '9c63543df076792a3057c9b4d0e5d77223b1c1bfe7271263008b8e02295ed5a5', 'index': 0, 'blockindex': 1, 'height': 51175, 'address': 'RRfaF1s266XULS8HsF1kCFcfLASCCgEdSN'}]"
dragonhound,AR,RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu,395862.76980074,"[{'satoshis': 100000, 'txid': '01281fadef5c9c6da20579050edcf22f8f33971635ceb436b76879771ca615ee', 'index': 0, 'blockindex': 1, 'height': 23357, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 7950601539, 'txid': '7ff96fc16136fedd37e238715107447624d39fb2984589dc8b33188dde1036e1', 'index': 0, 'blockindex': 1, 'height': 30350, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 17427606597, 'txid': 'c36ed8e557f0ff54b72e44737d1a1a5d62ae01d84d554e2ebe042e9f2289f766', 'index': 0, 'blockindex': 1, 'height': 41536, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 200000000, 'txid': '0aeb36d2f2f37536c8bdc4f33372fe7f6e5bc09fe43ef7e2b8e0de881d93414f', 'index': 0, 'blockindex': 1, 'height': 43675, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 10000000000000, 'txid': 'eefff4b26efa9bacf9f87fe17ee28b7e8b97c6b229fe4c711b4409bd6caa4aa4', 'index': 1, 'blockindex': 1, 'height': 45857, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 275097049237, 'txid': 'ab53396a8d06d855f8eefea34807844f09220a19e13a3c02acb2caf5ba5ab6a6', 'index': 0, 'blockindex': 1, 'height': 50250, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 20000000000000, 'txid': 'b014293cb22b01f83e7cf86cda13f0aed24b2fbf0e3b1804b7f88d26f1d52cd2', 'index': 1, 'blockindex': 4, 'height': 50552, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}, {'satoshis': 9285601622701, 'txid': 'c0297587c62fceed9add6bb6ac4b5abef6fceae33d4e465d46905d9d7390dd92', 'index': 0, 'blockindex': 1, 'height': 50579, 'address': 'RT3PBi6wBLvUySxtykehejsVTLKgCEwbzu'}]"
chmex,AR,RDLQrPQPDK3W3L6EdGGXstyNNYFT8fVLqH,501111.00100000,"[{'satoshis': 100000, 'txid': 'c998ff1e5ec08b983e9d6b15eabf75aace7c92984cf446f70b4c719f8672d103', 'index': 1, 'blockindex': 2, 'height': 28993, 'address': 'RDLQrPQPDK3W3L6EdGGXstyNNYFT8fVLqH'}, {'satoshis': 111100000000, 'txid': 'be82ae341f0d2854f3c2273aa3cea3e2061be71b769af5280b2312bf76661d7e', 'index': 3, 'blockindex': 1, 'height': 44407, 'address': 'RDLQrPQPDK3W3L6EdGGXstyNNYFT8fVLqH'}, {'satoshis': 10000000000000, 'txid': 'dfa4bf306fa7ef8c0227cee19545ebdfe386339079352dc9e50019f85cc3dcbd', 'index': 1, 'blockindex': 1, 'height': 47318, 'address': 'RDLQrPQPDK3W3L6EdGGXstyNNYFT8fVLqH'}, {'satoshis': 20000000000000, 'txid': '5da020fa6e3508832c74fd4604f4ae0565e13e6e756e886e8d826302cb1b3c88', 'index': 1, 'blockindex': 6, 'height': 50552, 'address': 'RDLQrPQPDK3W3L6EdGGXstyNNYFT8fVLqH'}, {'satoshis': 20000000000000, 'txid': '03ba017f72cd6a0e7fb1b3b1cf97fd7e8cef801887994dc6d5fa0659cc0da78b', 'index': 1, 'blockindex': 2, 'height': 50574, 'address': 'RDLQrPQPDK3W3L6EdGGXstyNNYFT8fVLqH'}]"
